Period,Start,Temperature,Forecast
Tonight,2026-08-19T20:00:00-04:00,78,Slight Chance Showers And Thunderstorms then Partly Cloudy
Thursday,2026-08-20T06:00:00-04:00,95,Mostly Sunny then Showers And Thunderstorms Likely
Thursday Night,2026-08-20T18:00:00-04:00,76,Chance Showers And Thunderstorms then Partly Cloudy
Friday,2026-08-21T06:00:00-04:00,95,Mostly Sunny then Showers And Thunderstorms Likely
Friday Night,2026-08-21T18:00:00-04:00,75,Showers And Thunderstorms Likely
Saturday,2026-08-22T06:00:00-04:00,94,Chance Showers And Thunderstorms
Saturday Night,2026-08-22T18:00:00-04:00,76,Chance Showers And Thunderstorms
Sunday,2026-08-23T06:00:00-04:00,93,Chance Showers And Thunderstorms
Sunday Night,2026-08-23T18:00:00-04:00,76,Chance Showers And Thunderstorms
Monday,2026-08-24T06:00:00-04:00,94,Chance Showers And Thunderstorms
Monday Night,2026-08-24T18:00:00-04:00,76,Chance Showers And Thunderstorms
Tuesday,2026-08-25T06:00:00-04:00,95,Mostly Sunny then Chance Showers And Thunderstorms
Tuesday Night,2026-08-25T18:00:00-04:00,76,Chance Showers And Thunderstorms
Wednesday,2026-08-26T06:00:00-04:00,94,Sunny then Chance Showers And Thunderstorms
